PuzzleId,FEN,Moves,Rating,Themes
0C3Du,r1br4/ppq1k2B/n5Q1/4bp2/5P2/6P1/PPP4P/R1B2R1K b - - 0 20,c7d6 f4e5 d6g6 h7g6,1776,crushing middlegame short
0BbXL,2k4r/1pp5/3b4/6pp/8/4B2P/PP2rPK1/2R2R2 b - - 1 24,e2b2 e3d4 b2a2 d4h8,1193,advantage endgame fork short
0ZsuB,r4rk1/1p3p1p/p4Pp1/n1p5/2Pp4/N2Pq1P1/PP3RP1/R2Q2K1 b - - 0 23,e3g3 d1d2 g3e3 d2a5,1823,advantage middlegame short
05A3l,r1r5/1b1k1ppp/p3p3/1pQnn3/2p1P3/8/PP3PPP/2KR1B1R w - - 0 20,c5b6 e5d3 c1b1 d5b6,1680,crushing middlegame short
00TJN,r3r1k1/pp3pB1/2q3pp/3R1b2/8/P4Q2/BP3PPP/1R4K1 b - - 0 23,f5b1 f3f7 g8f7 d5d7,1801,attraction doubleCheck kingsideAttack mate mateIn2 middlegame sacrifice short
05FJv,r4k1r/pbp1bppp/2Q5/4P3/1q6/2N2N2/PP3PPP/2KR3R w - - 1 16,c6c7 a8c8 c7d7 c8c3,1855,advantage middlegame short
0AQ2p,6k1/p2r1pbp/R2P4/4P1p1/1P6/2B5/8/6K1 b - - 1 35,f7f5 e5e6 g7c3 e6d7,1036,advancedPawn crushing endgame master short
0Npsf,8/5k2/p2Qp1p1/8/2q1P1K1/5PP1/8/8 b - - 1 51,a6a5 d6d7 f7f6 d7d8,1810,crushing endgame master masterVsMaster queenEndgame short
01UpP,8/pB5p/6pk/5p2/1P3P1P/P3r1n1/3R3K/8 w - - 0 41,a3a4 g3f1 h2g2 f1d2,1118,crushing endgame fork short
0PMLv,8/8/5p2/6pp/3kP2P/5KP1/8/8 w - - 0 62,g3g4 h5g4 f3g4 g5h4,1851,crushing endgame master pawnEndgame short
0T0ar,r5k1/p6p/b1p3p1/b1PpPp2/3P4/4QR2/Pq2N1PP/2R3K1 w - - 6 25,e2f4 a5d2 c1d1 d2e3,1170,crushing fork middlegame short
07WtY,6k1/6pp/p7/1pb5/2pp4/P6P/1PP2PPK/RB2r3 b - - 2 24,c4c3 b1a2 g8f8 a1e1,1417,advantage discoveredAttack endgame short
0CkWo,6k1/pp1r3R/6p1/2p2b2/5B2/6P1/P4PP1/3rR1K1 w - - 1 27,e1d1 d7d1 g1h2 g8h7,1016,advantage endgame master short
04bdj,r4rk1/1p3ppp/p2p4/4n3/4b3/P3BN2/1PP2PPP/R3K2R w KQ - 0 16,e1c1 e5f3 g2f3 e4f3,1572,crushing middlegame short
04fHF,2r5/6p1/p3pk1p/P2p4/1P1NnP2/4P1P1/4K2P/R7 w - - 3 39,a1a2 e4c3 e2f3 c3a2,932,crushing endgame fork short
0BrIZ,r3k3/pp3p2/2p5/2P1b3/3pP3/5P1b/PPB5/R2QK1Nr w q - 1 26,e1f2 h1h2 f2e1 e5g3,1091,mate mateIn2 middlegame morphysMate short
03eh3,r5rk/1bq2pp1/p4n1p/2p2BQ1/1p3p2/3p3R/PPP3PP/R5K1 b - - 1 24,f6e4 h3h6 g7h6 g5h6,1123,kingsideAttack mate mateIn2 middlegame sacrifice short
07NCG,5rk1/p4pp1/1p2p2p/2nb3P/1qP2Q2/3B1P2/P1P3P1/2KR3R w - - 3 23,f4d2 b4a3 c1b1 c5a4,1690,advantage defensiveMove middlegame short
0R4Aw,rnbq4/pppp1kp1/4p3/6bQ/5r2/8/PPP2PP1/RN2K2R b KQ - 3 16,f7e7 h5g5 f4f6 g5g7,1086,advantage fork hangingPiece middlegame short
0KI1p,8/8/p2p2N1/Pb1Pp3/4K3/6k1/6P1/8 b - - 0 43,g3g2 g6h4 g2h3 h4f5,1747,crushing endgame short
0SH4r,8/p2R4/6kp/6p1/r1n5/PP5P/5PP1/4K3 b - - 0 34,c4b6 d7d6 g6f7 b3a4,1409,crushing endgame short
0Qkmb,8/2pn4/p2k3p/3Np1p1/1PP1Pp2/3K1P1P/5P2/8 b - - 0 28,c7c6 c4c5 d6e6 d5c7,1104,crushing endgame knightEndgame short
0azY6,1r3rk1/ppp2ppp/1n1bp3/5b2/3Pn2q/PQNNP3/1P2BPPP/R1B1R1K1 w - - 7 14,c3e4 h4h2 g1f1 h2h1,1215,kingsideAttack mate mateIn2 middlegame short
