PuzzleId,FEN,Moves,Rating,Themes
0Jcrq,7r/p1p2kpp/3p4/5p2/5P1b/1P2Pq2/PBPPNn2/R1K2Q2 w - - 6 21,e2d4 f2d3 c2d3 f3f1,1283,crushing discoveredAttack middlegame short
00O8m,r3r1k1/ppp2ppp/2nn1q2/8/3P4/P1P1P1P1/2Q3BP/R1B1KR2 b Q - 4 16,f6e6 d4d5 e6e5 d5c6,1362,crushing fork middlegame short
0O9rC,rnb1kb1r/pppp1ppp/4p3/8/1PP1n3/P3PP2/2QP2PP/qNB1KBNR b Kkq - 1 6,e4c5 c1b2 a1b2 c2b2,1505,advantage opening short
03INy,3r3k/r2P2pp/p3R3/8/q2R1p2/5Q2/6PP/4N2K b - - 0 36,a4d4 e6e8 d8e8 d7e8q,979,advancedPawn backRankMate endgame mate mateIn2 promotion short
0Zjg0,r2qk2r/ppp2p1p/2n1bp2/8/1b1N4/2N3P1/PPP1PPBP/R2QK2R b KQkq - 0 10,d8d4 g2c6 b7c6 d1d4,1084,crushing intermezzo middlegame short
04Z1o,r2q2kQ/p2nb1p1/bp2p3/3pP1P1/5r2/2P5/PP3PP1/R3K2R b KQ - 1 18,g8f7 g5g6 f7g6 h8h5,1650,attraction mate mateIn2 middlegame short
0C7n9,1k1r1r2/pp1B4/2q4b/5Q1p/6p1/8/PPP2P2/1K1R3R w - - 1 26,d7c6 d8d1 h1d1 f8f5,1192,advantage middlegame short
0Bnvv,6k1/R7/6Kp/5p2/8/5PP1/2r4r/8 b - - 1 37,c2c5 a7a8 c5c8 a8c8,1119,endgame mate mateIn2 rookEndgame short
0Gc7q,5r2/5kpQ/p1p4p/3P2b1/1P2r3/P3qP2/1B4PP/2R4K w - - 0 31,h7e4 e3e4 f3e4 g5c1,1192,advantage discoveredAttack endgame master short
06mvl,3rr1k1/1p1nb1p1/p3R2p/2pP4/8/1PN2N1P/P5P1/4R1K1 b - - 2 29,d7f6 e6e7 e8e7 e1e7,1028,advantage middlegame short
03YMC,1r3rk1/3p1p1p/1qn2p2/4p3/pP2PP2/P2Q2P1/2P3BP/RK1R4 w - - 2 30,d3d7 c6b4 a3b4 b6b4,1695,advantage middlegame queensideAttack short
0BznS,r4rk1/5ppp/8/p4P2/2pP3q/4NbbP/P7/R2QBR1K w - - 0 26,d1f3 h4h3 h1g1 h3h2,1086,kingsideAttack mate mateIn2 middlegame short
071op,8/8/p1p5/1p2kp1p/1P5P/P1P2KP1/8/8 b - - 0 44,e5f6 f3f4 f6e6 f4g5,1263,crushing endgame pawnEndgame short zugzwang
0CtHM,r2qkb1r/pp2pppp/2p5/3Pn3/QnP5/5B1P/PP3PP1/RNB1K2R w KQkq - 0 11,a4b4 e5d3 e1d2 d3b4,1058,advantage fork master opening short
07ZsC,4r1k1/pQ4bp/6q1/2p1n3/8/7P/PP4P1/3R1RK1 b - - 0 28,e5c4 b7d5 g8h8 d5c4,1364,advantage fork middlegame short
0T7Qc,5k2/R7/1p4p1/3K3p/2B5/P7/2r5/8 w - - 0 41,d5e6 c2c4 e6f6 c4c6,1739,crushing endgame hangingPiece short
0CtRw,r2q1r2/p5kp/1p2p3/3bP3/3PpB1P/7Q/PP2P1B1/R5K1 b - - 0 22,f8f4 h3g3 f4g4 g3g4,970,advantage fork middlegame short
0O8Jq,2n5/p1Qq2kp/1r1P1pp1/5p2/8/5N1P/5PP1/3R2K1 b - - 2 32,b6b7 c7b7 d7b7 d6d7,1558,advancedPawn advantage endgame master masterVsMaster sacrifice short
02NrU,r4rkR/1pq3p1/2pbp1p1/p3P1N1/8/2P1PQ2/PP4P1/2K5 b - - 1 20,g8h8 f3h3 h8g8 h3h7,1144,endgame mate mateIn2 short
03OoQ,r2q1rk1/p3bpp1/1np1pn1p/1p3b1N/3Pp3/P1N5/1PP2PPP/R1BQRBK1 b - - 3 13,f5g4 h5f6 e7f6 d1g4,936,advantage kingsideAttack opening short
0Mpj4,5r1k/1pr3p1/p4bQB/3Pp2P/6R1/P1P2P2/1q6/3RK3 b - - 0 29,g7h6 g6h6 c7h7 h6f8,1188,fork mate mateIn2 middlegame short
0BgMd,8/k1p5/1p1p4/8/8/p7/4qPQ1/2KR4 w - - 0 38,d1d2 e2e1 c1c2 a3a2,1830,advancedPawn crushing endgame master short
0JQHr,8/5p1k/6p1/4P1Pp/4q2P/5Q2/1P4K1/8 b - - 12 48,e4e5 f3f7 e5g7 f7g7,1267,crushing endgame queenEndgame short
0NoBr,8/RP4p1/5pk1/5n1p/1R2p1KP/P7/6P1/7r w - - 0 37,g4f4 h1h4 g2g4 h4g4,1496,endgame mate mateIn2 short
00IF1,1k6/p1p5/P2p4/3P4/1PK2N1p/4P3/5r2/4B3 b - - 12 57,f2f4 e3f4 h4h3 e1g3,1266,crushing defensiveMove endgame hangingPiece short
0Oye9,r2qkb1r/1p2pppp/p1n2nb1/3p4/Q2P1BP1/2N1PN2/PP2BP1P/R3K2R b KQkq - 6 11,b7b5 c3b5 a6b5 a4b5,1672,advantage master middlegame pin short
0G4oU,1r4k1/1p1r1ppp/p3qb2/2pNp2Q/5P2/1PPR3P/P5P1/4R1K1 w - - 0 29,f4e5 d7d5 d3d5 e6d5,1266,crushing middlegame short
0SXuz,5r1k/6rp/p2q1b2/1ppP1Bp1/2P1p1Q1/7R/PP4PP/5RK1 w - - 0 33,h3h6 f6d4 g1h1 d6h6,1170,advantage discoveredAttack middlegame short
0TbpE,R7/6pk/5p1p/pp2nP2/4P3/4q2P/1PQ3P1/7K w - - 0 33,a8a5 e3e1 h1h2 e1a5,1263,advantage endgame fork short
094GW,r3k1r1/1b1p1pqp/p3p1n1/1pn5/7N/1P4P1/P1PNBP1P/R2Q1RK1 w q - 3 17,e2f3 g6h4 f3b7 c5b7,1578,advantage middlegame pin short
0UEf6,8/8/2p5/8/5Q2/4n2p/P3k3/7K w - - 8 55,f4e3 e2e3 a2a4 e3d4,1681,crushing defensiveMove endgame hangingPiece short
0MkVe,r1b2rk1/pp3ppp/2nb1n2/2pqp3/8/1PP2N1P/P2PBPP1/RNBQR1K1 b - - 0 9,f8e8 e2c4 d5c4 b3c4,1310,crushing opening short trappedPiece
0UKQO,r7/ppQb2kp/4Nnp1/2pB4/2P5/2q3P1/3N2KP/8 b - - 3 26,g7h6 c7f4 g6g5 f4g5,1511,mate mateIn2 middlegame short
0axQN,2k4r/ppp2p2/1np1b3/q7/4r3/P1NBQ3/2PP1PP1/R1B2K2 w - - 0 24,e3e4 h8h1 f1e2 a5h5,1365,advantage middlegame short
0VQLj,1r2kb1r/5ppp/p1p1p3/3pPn2/P2P4/4B3/1q1N1PPP/R2Q1RK1 b k - 1 14,f5d4 a1b1 b2b1 d2b1,1576,crushing middlegame short
0VkON,3r2k1/4R1pp/5p2/3p1b2/1p3B2/8/rP3PPP/2R3K1 b - - 1 22,d8d7 c1c8 d7d8 c8d8,1194,endgame mate mateIn2 short
0I5Ic,r4rk1/1q4pp/p4n2/1p2B3/1P6/P4RP1/7P/2RQ2K1 b - - 2 28,f6g4 f3f8 a8f8 d1g4,1745,advantage discoveredAttack middlegame short
0O9Li,4Q1k1/1prr1pp1/p6p/8/Pb4P1/1PN4P/2P1K3/8 b - - 3 28,g8h7 e8e4 h7g8 e4b4,1090,advantage endgame fork short
06Z8B,3r4/1b2kp1p/2q1pp2/1pb5/8/1B3N2/1PP1QPrP/4R1RK w - - 0 20,g1g2 c6f3 e2f3 b7f3,983,advantage middlegame pin short
0VOvC,8/1p3p1k/p2Npr1b/2p5/2P5/1P4KR/8/8 b - - 1 39,h7g7 d6e8 g7f8 e8f6,963,advantage endgame fork short
0PNLC,r4r1k/p1p4p/5pp1/8/5P1B/4q3/PPP3PP/1R1Q3K b - - 1 21,f8d8 h4f6 h8g8 f6d8,1181,crushing endgame fork short
0FjCY,3rr2k/p1qn2bp/1pp3p1/5pB1/4p3/2P3P1/PPQ1BP1P/3RR1K1 b - - 3 24,g7f6 d1d7 d8d7 g5f6,1606,advantage capturingDefender kingsideAttack master middlegame short
04zl6,2r1rbk1/1n3pp1/2b4p/1p1np2P/1P2N2q/2PQ2N1/1BB2PP1/R3R1K1 b - - 3 24,d5f4 e4f6 g7f6 d3h7,963,clearance kingsideAttack mate mateIn2 middlegame sacrifice short
0MCow,8/8/5P2/3K3p/1k5P/p7/3N4/2n5 b - - 0 47,a3a2 f6f7 b4c3 f7f8q,1349,advancedPawn crushing endgame knightEndgame master promotion short
0ZPwM,2b2rk1/1p2ppbp/2np2p1/8/2PN4/rP2N1P1/PR2PPBP/5RK1 w - - 2 19,e3c2 g7d4 c2a3 d4b2,1664,crushing master middlegame short
0Fjbt,8/2N2kp1/5p2/5p1p/2n2K2/P4PP1/7P/8 w - - 0 41,a3a4 g7g5 f4f5 c4d6,1662,endgame knightEndgame mate mateIn2 short
0Mdew,7r/p1R3pk/7p/q7/8/4B1P1/2P2P2/3R3K w - - 2 28,c7a7 a5h5 h1g2 h5d1,997,crushing endgame fork short
0OwnO,8/p2r1r1p/1p4pk/8/8/5PP1/PP2q2P/2Q2R1K b - - 6 37,h6h5 g3g4 h5h4 c1h6,1038,endgame mate mateIn2 short
0H5mK,8/7B/2p3p1/6r1/P3p3/7R/3k1K2/8 w - - 2 63,h3g3 g5g3 f2g3 e4e3,1628,crushing endgame master short
0XFvx,7r/p4kpp/p3qp2/3n4/1QpP1BP1/4PB1P/2P2P2/5K1R w - - 3 22,b4c4 d5e3 f4e3 e6c4,1055,advantage discoveredAttack master middlegame short
0EJNZ,r1bqk2r/ppp1n1pp/2p2p2/8/1b1PP3/2N2N2/PP3PPP/R1BQ1RK1 b kq - 4 9,e8g8 d1b3 g8h8 b3b4,1300,crushing fork opening short
0GQPu,1r5r/ppb2k1p/3q1p2/2p1nQ2/8/P1NP4/1PP2PPP/R1B2RK1 w - - 1 18,c3e4 e5f3 g2f3 d6h2,1166,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short
0FRGv,r3b2r/1p1k1p1p/pq1ppQ2/8/2n1P3/1NN4P/PPP1K1B1/5R2 w - - 1 26,f6h8 b6e3 e2d1 c4b2,1306,master mate mateIn2 middlegame short
0Bgnu,8/p2k1pp1/1r2p3/3pP2p/3P3P/q1pQ1NP1/R4P2/1K6 w - - 2 32,b1a1 a3c1 d3b1 b6b1,1182,endgame mate mateIn2 short
0ZhhD,2r2rk1/1b2b1pp/p3p3/q3NP2/1n2pB2/2N1P2P/1PP1QP2/2KR2R1 w - - 0 21,c1b1 c8c3 g1g7 g8g7,1308,advantage middlegame short
0WWLy,r5k1/1p3p2/3p2p1/pP1q4/P2b2P1/5r1p/3R1N1P/3Q1RK1 w - - 0 29,d2d4 f3g3 h2g3 d5g2,1189,clearance mate mateIn2 middlegame sacrifice short
0TBQv,2r5/1pp1kpp1/3n3p/2R5/R4B2/2P5/2b3PP/6K1 w - - 0 29,f4d6 e7d6 c5a5 c2a4,1364,crushing endgame short
0DJO8,8/r6k/p3PR1P/np6/8/8/5P2/6K1 b - - 0 43,a5c6 f6f7 h7h6 f7a7,1138,crushing endgame master short
0NT3T,1rb1r2k/2qnbpp1/p3p3/2ppP2Q/5P2/1p2P3/PBBN2PP/R5K1 b - - 1 19,h8g8 h5h7 g8f8 h7h8,1209,kingsideAttack mate mateIn2 middlegame short
0F846,3r2k1/2R2pp1/1q1Bp2p/1B2P3/P2b2PP/1P3Q2/4p2K/8 b - - 1 28,e2e1q f3f7 g8h8 f7g7,903,mate mateIn2 middlegame short
0P10p,1Q6/1b3rpk/4B3/2p4p/1q6/7P/1pP3P1/1R5K w - - 3 32,e6f7 b7g2 h1g2 b4b8,1092,crushing discoveredAttack endgame short
0BcTU,rn1q1r1k/pbp2pp1/1p1bp2p/6N1/3P4/3BQN2/PPP3PP/R4RK1 b - - 0 14,h6g5 f3g5 d8g5 e3g5,1194,crushing middlegame short
0BUpl,8/1bp3rk/1p2QN1p/p7/P7/5qP1/5P1P/1R4K1 b - - 3 29,h7h8 e6e8 g7g8 e8g8,981,endgame mate mateIn2 short
0Ep4E,8/3R2p1/7k/P7/4Nr2/3K4/1P5p/8 w - - 0 39,e4g3 f4f3 d3c4 f3g3,1040,crushing endgame fork short
0Sfy9,5k2/R6P/5p2/4pP2/1p2P1K1/p7/8/1r6 b - - 0 42,b1g1 g4h5 g1h1 h5g6,1789,crushing defensiveMove endgame rookEndgame short
0Mf9G,r1bqkb1r/ppp1pn1p/2n3p1/3p1P1Q/7N/2P5/PP1P1PPP/RNB1KB1R w KQkq - 0 7,f5g6 h7g6 h5g6 h8h4,1279,advantage discoveredAttack master opening short skewer
0PvCj,6k1/5ppp/4p2n/p3P3/2r2PP1/2q4P/P2NK3/1R1R4 b - - 2 35,c4f4 b1b8 c3c8 b8c8,968,backRankMate endgame mate mateIn2 short
0HVkh,8/2kq4/8/3P2Q1/4P1P1/p4PK1/8/8 w - - 1 53,g5e5 d7d6 e5f4 d6f4,1388,crushing defensiveMove endgame queenEndgame short
0Z2Eb,8/4Q2p/6pk/5p2/4pP2/6qP/1r4P1/6RK b - - 15 48,e4e3 e7f8 h6h5 f8g7,1759,advantage endgame short
01u1J,r1b2rk1/5ppp/4p3/1p6/1P6/5P2/2PR2PP/2K2B1R w - - 0 18,f1b5 a8a1 c1b2 a1h1,1025,advantage endgame master short skewer
0BfQD,r5k1/1p1R2pp/1p3p2/4p2Q/8/P6P/1q3PPK/8 b - - 3 29,b2f2 h5f7 g8h8 f7g7,992,endgame mate mateIn2 short
00h5T,1r2r1k1/3p1pb1/p2q2pp/1p3P2/3p4/P6Q/BPP3PP/4RRK1 b - - 0 23,g6g5 e1e8 b8e8 f5f6,1795,crushing kingsideAttack master middlegame short
05y7F,rn3rqk/ppp1Q1bp/6p1/4N1B1/8/7P/PP3PP1/R4RK1 b - - 3 18,f8e8 e5f7 g8f7 e7f7,1438,crushing kingsideAttack middlegame short
0FZKJ,8/8/8/1Q4p1/2p2p2/1k6/6PK/q7 b - - 3 66,b3c3 b5e5 c3c2 e5a1,1086,crushing endgame queenEndgame short skewer
0Xc40,1k1r1r2/ppq1bpp1/4p1p1/4P3/1PPB2Q1/P6P/3R2P1/3R2K1 b - - 0 29,c7c4 d4a7 b8a7 g4c4,1448,crushing discoveredAttack middlegame queensideAttack short
04NEC,1k5r/1pp4p/p7/3r4/3n2Q1/1P6/P4PP1/2R2RK1 w - - 0 26,g4g7 d4e2 g1h1 d5h5,1347,endgame fork mate mateIn2 short
0SEz0,r1bq1rk1/pp4pp/2p5/3nN3/3PRP2/1Q6/PP4BP/5RK1 b - - 0 22,a8b8 e5c6 b7c6 b3b8,1384,advantage middlegame short
046Rc,r4rk1/ppp2ppp/3p4/3q4/1P1b1P1n/3BB1RP/P4P1K/R2Q4 b - - 1 21,d4a1 d3h7 g8h7 d1d5,1150,advantage discoveredAttack kingsideAttack middlegame short
0Lup6,5k2/5p2/6rP/7K/5N2/6P1/8/8 b - - 4 74,g6g8 h6h7 g8h8 h5h6,1533,advancedPawn crushing defensiveMove endgame short
0BvsU,rn3r1k/1pp3p1/p3R2p/7Q/P1B5/2P5/5qPP/R6K b - - 3 19,b8c6 e6h6 g7h6 h5h6,1178,mate mateIn2 middlegame sacrifice short
0GWmf,2bk1r2/2q1b3/p2p4/npp4B/4PB2/2PP3P/PP1N2P1/R4RK1 b - - 2 23,e7h4 f4g5 h4g5 f1f8,1021,advantage discoveredAttack middlegame short
067sz,5qk1/pp4p1/6Q1/6N1/1bPp4/3n4/PP4PP/R3r1K1 w - - 3 27,a1e1 f8f2 g1h1 f2e1,1226,backRankMate endgame fork mate mateIn2 short
01EK4,r1q1r1k1/p1p2p2/1p3Qpp/3b4/3N4/3B4/PPP4P/3R1R1K w - - 1 24,h1g1 c8g4 g1f2 g4g2,1253,kingsideAttack mate mateIn2 middlegame short
0Ps4Q,1k6/pp3Q1p/3p1p2/2p2q2/P5r1/6P1/5P1P/2R3K1 b - - 0 26,g4a4 f7e8 f5c8 e8a4,1148,advantage endgame fork short
07iic,8/1pk2p2/2p1p3/8/4P1q1/Q4N1p/PPP3r1/5R1K w - - 5 34,f1g1 g2g1 f3g1 g4g2,1191,clearance endgame mate mateIn2 short
0IUiu,6k1/1p2rpp1/2pq4/3p4/r2P1pQ1/P1n1P2P/8/R1B3RK b - - 1 44,d6g6 g4c8 g8h7 g1g6,1135,advantage discoveredAttack middlegame short
0SePW,6k1/pp1NRrp1/2p5/n2p2qp/P2P1r2/2P2P2/2P1Q1PP/1R5K w - - 3 27,e2e6 g5e7 e6e7 f7e7,1259,advantage middlegame short
0IuvZ,2kr1b1r/ppp1pppp/2n5/3P2R1/4q3/4B2P/PPP2P2/R2QKB2 b Q - 1 13,c6d4 d1d4 e4d4 e3d4,1576,advantage middlegame short
0D3o0,2rk3r/2qn2pp/2n1pp2/pp1pP2B/2pP1B2/P1P4P/1PQ2PP1/R4R1K w - - 2 20,e5f6 c7f4 f6g7 h8g8,1184,advantage middlegame short
0OKBe,r5k1/p4bp1/1p5p/n1p1Q3/P7/6P1/2P3P1/6K1 b - - 1 33,g8h7 e5e4 g7g6 e4a8,1352,advantage endgame fork short
01Q83,1k2r3/p7/PpB2p1p/1Pq1r1p1/8/1Q4PP/6P1/5R1K b - - 2 34,e8e7 b3g8 e7e8 c6e8,1392,crushing endgame short
0A1rW,2r2rk1/1pq2p1p/6p1/p2p4/6N1/P1B1P3/1PP5/3KR1R1 b - - 3 31,h7h5 g4f6 g8h8 f6d5,1502,advantage discoveredAttack discoveredCheck middlegame short
090LN,8/1Q3pk1/p1p1n3/P3p1p1/2P1P2p/1P2qP1P/4N1P1/4K3 w - - 1 35,b7b6 e6d4 b6d4 e5d4,1675,crushing endgame master short
03haq,r2q1r2/4b1pk/2p3p1/pp4Pp/5Pn1/PB1PB3/1PP1Q3/2KR3R b - - 2 21,g4e3 h1h5 g6h5 e2h5,1226,mate mateIn2 middlegame sacrifice short
08LPF,4r1k1/r4p1p/pp3Q1B/2p5/3p2P1/1B1P1bqP/PPP4b/4RR1K w - - 0 26,f1f3 e8e1 f3f1 e1f1,1626,advantage hangingPiece kingsideAttack middlegame short
0RkRs,8/2r5/p1pR1p2/5k1p/2P2P2/8/P1R2P1P/4rBK1 w - - 1 34,d6d2 c7g7 g1h1 e1f1,983,deflection endgame mate mateIn2 short
0GtjA,3r4/1pk5/p3p1bp/6p1/4N3/4nPN1/PPP3PP/4R1K1 b - - 1 24,e3c2 e1c1 c7b8 c1c2,1031,crushing endgame pin short
0U7Y9,r2q1k1r/1b4p1/3bQnBp/1p6/3P4/2P5/5PPP/R1B2RK1 b - - 0 18,d8e7 a1a8 b7a8 e6c8,1637,advantage master middlegame short
0SFNG,r3kb1r/ppqnnppp/2p1p1b1/6P1/1PP4P/P1NP1N2/1B2BP2/R2QK2R b KQkq - 2 13,e7f5 h4h5 g6h5 h1h5,1465,advantage middlegame short trappedPiece
051q4,r5r1/p1p2p1k/2p2p1p/3b1N2/6R1/3n3P/PPP2PP1/R1B3K1 w - - 4 20,g4h4 g8g2 g1f1 g2f2,1134,crushing kingsideAttack middlegame short
0E0VC,2r2rk1/p2b1p1p/5np1/q2P4/1pp1P3/5PP1/PPQ1BKP1/1N1R3R w - - 2 25,c2d2 c4c3 d2d4 c3c2,1654,advancedPawn advantage master middlegame short
0V6cr,4q1k1/p4p1p/1p4p1/2bB2P1/8/8/PP4P1/5Q1K b - - 4 36,e8e5 f1f7 g8h8 f7g8,1151,endgame mate mateIn2 short
02oX3,rn3rk1/p1q2pbp/1pp1pBp1/4P2N/8/7Q/PPP2PPP/3R1bK1 b - - 1 17,g7f6 h5f6 g8g7 h3h7,1038,discoveredAttack kingsideAttack mate mateIn2 middlegame short
0Whgh,6r1/pp5k/2p1P1pr/3p2R1/PP1P2QN/8/6RK/4q3 w - - 1 43,g4g3 h6h4 g3h4 e1h4,1113,crushing middlegame short xRayAttack
0JCuy,r5k1/pp3ppp/8/2b5/2Pq1B2/5Q2/PP3RPP/RN2r2K w - - 1 20,f2f1 d4g1 f1g1 e1g1,1363,kingsideAttack mate mateIn2 middlegame sacrifice short xRayAttack
0ZSjO,3k2rr/2p5/p1P2p2/1pqPbN1p/4Pp2/P6Q/R5P1/5R1K b - - 8 28,c5c4 f5e3 g8g4 e3c4,1876,advantage middlegame short
0Gg5V,1r6/2p1kp1p/2p1p1p1/2P5/3PN3/bq1RPP1P/P7/K7 w - - 0 30,d3b3 b8b3 a2b3 a3c1,1827,crushing endgame master short
0Gn44,8/4R2r/2p2k1p/r1q1N1p1/2B1P1P1/1pN3BP/1K3P2/3R4 w - - 1 36,e7h7 c5a3 b2b1 a3a1,1123,mate mateIn2 middlegame short
0TQZV,1r3k2/q6p/2Q5/p1PpP3/3P3P/4P1PK/r5B1/8 b - - 2 36,b8d8 c6f6 a7f7 f6d8,1085,crushing endgame fork master short
0RQDY,7Q/1q3p2/k3p1r1/1b1pP1N1/p1pP3P/2P3P1/2P2P2/1R4K1 w - - 0 44,h8e8 b5e8 b1b7 a6b7,952,crushing endgame short
0GcoK,5r2/4bpk1/8/1b1ppqP1/3P4/P5K1/1P1B2P1/R2Q3R w - - 0 26,d1h5 f5d3 h5f3 d3d2,1561,advantage fork middlegame short
0WMo1,r4r1k/p3Nppp/2p5/3b4/8/5PP1/P1K3P1/R6R b - - 0 21,f8e8 h1h7 h8h7 a1h1,1080,anastasiaMate attraction endgame master mate mateIn2 sacrifice short
06GxX,r3r2k/1R3Qpp/4np1B/p3p3/8/8/q4PPP/5RK1 b - - 5 28,a2a3 h6g7 e6g7 f7g7,1281,mate mateIn2 middlegame short
0aZXc,1r2k1nr/p1Qnqppp/8/2bP2N1/8/N1P5/P4PPP/R1B2K1R b k - 2 15,c5a3 c1a3 e7a3 a1e1,1594,clearance crushing opening short
07r8L,r6r/pp6/2pp3p/4pk2/5p2/2PP1R1P/PP3PP1/3R2K1 w - - 4 21,d3d4 e5e4 g2g4 f5g5,1255,crushing defensiveMove endgame rookEndgame short
0Okzl,6k1/2r2pp1/4p2p/2N5/1P6/2R5/2b3P1/6K1 b - - 3 50,c2g6 b4b5 f7f6 b5b6,1329,advantage endgame quietMove short
0IbPk,r6k/1R5P/6K1/8/pPpP4/8/8/8 w - - 0 39,b7c7 a4a3 c7c4 a3a2,1343,advancedPawn crushing endgame rookEndgame short
0BONB,5rk1/p4rp1/1p1pQ2p/2p3q1/4P3/1P3R2/PBP3PP/7K b - - 1 22,g8h7 f3f7 f8f7 e6f7,1032,crushing endgame short
0aOVi,2rr2k1/R4pp1/4p2p/1b2P3/4B3/P3B2P/1Q3PPK/3q4 b - - 4 26,d8d7 b2b5 d7a7 e3a7,1676,advantage hangingPiece middlegame short
06SuH,3R4/5pk1/1p2pNp1/2b1P2p/5P2/1P5P/1r3P2/6K1 b - - 6 38,g6g5 d8g8 g7h6 f4g5,1516,endgame mate mateIn2 short
03wgS,rnb1kb1r/p3npp1/2pp2qp/1p2p1B1/4P3/1BNP1N2/PPPQ1PPP/R3K2R w KQkq - 0 9,f3h4 g6g5 d2g5 h6g5,1270,crushing middlegame short
0AsqG,5rk1/6b1/p1q3p1/3b1p1p/2pPN3/2Q2P2/P5PP/1R2R1K1 w - - 0 26,e4c5 c6c5 d4c5 g7c3,1473,advantage middlegame short
0Q3cM,8/8/R6p/1p4pk/p7/nb5P/6PK/8 b - - 1 49,b5b4 g2g4 h5h4 a6h6,900,deflection endgame mate mateIn2 short
0510c,8/pp1Q1pkp/3p2p1/4p1P1/3nq3/8/P4PP1/5RK1 w - - 0 27,d7d6 d4e2 g1h1 e4h4,1027,endgame mate mateIn2 short
0DuEj,8/4k2Q/pbb1pp1p/6q1/1P6/P1r1P1N1/5PPP/5RK1 b - - 2 29,e7d6 f1d1 c6d5 g3e4,1496,advantage middlegame short
011J1,4R3/5ppk/7p/2p2q2/1n6/2Br2P1/5P1P/1Q4K1 w - - 0 35,c3b4 d3g3 f2g3 f5b1,1210,advantage discoveredAttack endgame short
0VsOZ,r1b2rk1/ppp2ppp/8/4b3/2B5/5Q2/P2q1PPP/3R2K1 b - - 1 16,d2a5 f3f7 f8f7 d1d8,1561,kingsideAttack mate mateIn2 middlegame pin sacrifice short
05Gmm,3r3k/1p4b1/p1p3pp/2PqP3/1PQp1P1P/P2R2PB/7K/8 w - - 2 39,d3d4 d5d4 c4d4 d8d4,970,advantage endgame short
03HTm,2r2k2/3R2p1/2p3Kp/1pp5/6P1/1P1P3P/8/8 b - - 0 38,c8e8 d7f7 f8g8 f7g7,1159,crushing endgame rookEndgame short
04Ciw,8/pp1R2pp/2n2p2/2k5/5P2/1B5P/Pr4P1/6K1 b - - 2 30,c6d4 d7d5 c5c6 d5d4,1440,advantage deflection endgame short
0FmvI,5r1k/p3pp1p/7P/3qpQ2/3b1PR1/8/P5P1/2K5 b - - 0 28,f8c8 f5c8 d5d8 c8d8,1206,endgame hangingPiece mate mateIn2 short
0P0tZ,3r2k1/1b2qp1p/2p1p1p1/ppP1Q3/Pn1r2N1/1P4P1/4BP1P/R4RK1 b - - 3 24,f7f5 g4h6 g8f8 e5h8,928,kingsideAttack mate mateIn2 middlegame short
0BjiB,r2q3r/5pk1/3p2p1/7P/1p3Q2/8/1PP5/1NK4R b - - 0 25,d8f6 h5h6 h8h6 f4h6,1221,crushing endgame short
0OMOt,3Q4/8/p2B4/2p5/2Pp3p/P4kpp/7K/4r3 w - - 0 39,d6g3 h4g3 h2h3 e1h1,1735,endgame mate mateIn2 short
00Q4v,8/2p1b3/q1Pp2k1/3Pp3/4Pr2/1Q3PK1/3N2P1/7R w - - 1 47,h1e1 e7h4 g3h2 h4e1,1228,crushing endgame short skewer
0ZFoo,r3k1nr/pp2ppbp/1qBp2p1/2p5/3P4/1P2P2P/PBP2PP1/RN1QK2R b KQkq - 0 9,b6c6 d4d5 g7b2 d5c6,1181,advantage middlegame short
0Vdy2,1br1q1k1/pp1n1bp1/2p2pNp/3n4/3P4/2P2N2/PP1B1PPP/1BR1Q1K1 w - - 1 18,e1d1 f7g6 b1g6 e8g6,1119,advantage opening short
06jBT,6k1/3q1pb1/p5pp/1p1p3r/5Q2/P2BPbP1/1P3PP1/2R3K1 w - - 0 25,g2f3 d7h3 f4h4 h5h4,1181,crushing endgame short
08HX2,r4rk1/p1p1bpp1/1pPp1q2/PB5p/4P1n1/2N3P1/1PP2P1P/R1BQR1K1 w - - 1 15,c3d5 f6f2 g1h1 f2h2,1158,kingsideAttack mate mateIn2 middlegame short
0B7hA,8/Q4pk1/5qpp/8/8/6P1/P3rP2/3R2K1 w - - 1 35,d1d7 e2e1 g1g2 f6c6,1530,crushing endgame master short
0Xzie,r2q1rk1/pp4p1/2np1b1p/2p5/4PP2/2P1B3/P3N1KP/1R1Q1R2 b - - 0 20,b7b6 d1d5 g8h8 d5c6,1426,advantage fork master middlegame short
0WYqf,7Q/4kppp/p3p3/1pN5/5Pn1/5qP1/PPP4P/R1BK3R w - - 3 20,d1d2 f3e3 d2d1 g4f2,1768,fork mate mateIn2 middlegame short
0On7Z,r1bq1rk1/pp6/2n1p3/3p3B/3b1N2/2N1n1R1/PP1Q2PP/R5K1 b - - 1 18,g8h8 f4g6 h8h7 g6f8,1595,equality fork middlegame short
0EvX7,r5k1/pp3p1p/6p1/8/1r5B/1Pb5/3NRPPP/5RK1 w - - 6 23,f1c1 c3d2 e2d2 b4h4,1628,equality middlegame short
0J7wC,2Q5/4r3/2bpkq2/p3p3/2p1P3/1P3P2/P6P/1B5K b - - 3 53,c6d7 c8c4 d6d5 c4d5,1347,endgame mate mateIn2 short
